date,fold,regime,prediction,pred_direction,actual_return,actual_direction,strategy_return,cumulative_return,confidence,aleatoric,epistemic,correct,pnl_bps
2008-01-23,fold_1,Pre-crisis upturn + GFC onset,0.0027929581701755524,1,0.009706642478704453,1,0.009706642478704453,0.009706616401672363,,,,1,97.06642478704453
2008-01-24,fold_1,Pre-crisis upturn + GFC onset,0.0032404442317783833,1,-0.006706463638693094,-1,-0.006706463638693094,0.002935051918029785,,,,0,-67.06463638693094
2008-01-25,fold_1,Pre-crisis upturn + GFC onset,-0.0053871446289122105,-1,0.007704523392021656,1,-0.007704523392021656,-0.00479203462600708,,,,0,-77.04523392021656
2008-01-28,fold_1,Pre-crisis upturn + GFC onset,-0.0008716515731066465,-1,-0.001093094702810049,-1,0.001093094702810049,-0.0037041306495666504,,,,1,10.93094702810049
2008-01-29,fold_1,Pre-crisis upturn + GFC onset,-0.004577029496431351,-1,0.004004329908639193,1,-0.004004329908639193,-0.007693648338317871,,,,0,-40.043299086391926
2008-01-30,fold_1,Pre-crisis upturn + GFC onset,-0.00022330947103910148,-1,0.002289247466251254,1,-0.002289247466251254,-0.009965300559997559,,,,0,-22.89247466251254
2008-01-31,fold_1,Pre-crisis upturn + GFC onset,-0.004563098773360252,-1,-0.004380703438073397,-1,0.004380703438073397,-0.005628228187561035,,,,1,43.80703438073397
2008-02-01,fold_1,Pre-crisis upturn + GFC onset,-0.006765809841454029,-1,0.001897936686873436,1,-0.001897936686873436,-0.0075154900550842285,,,,0,-18.97936686873436
2008-02-04,fold_1,Pre-crisis upturn + GFC onset,-0.005177113693207502,-1,-0.012808330357074738,-1,0.012808330357074738,0.005196571350097656,,,,1,128.08330357074738
2008-02-05,fold_1,Pre-crisis upturn + GFC onset,-0.010607728734612465,-1,-0.0014324913499876857,-1,0.0014324913499876857,0.006636500358581543,,,,1,14.324913499876857
2008-02-06,fold_1,Pre-crisis upturn + GFC onset,-0.006365449633449316,-1,-0.009454712271690369,-1,0.009454712271690369,0.016153931617736816,,,,1,94.54712271690369
2008-02-07,fold_1,Pre-crisis upturn + GFC onset,-0.007858240976929665,-1,0.07542583346366882,1,-0.07542583346366882,-0.06049036979675293,,,,0,-754.2583346366882
2008-02-08,fold_1,Pre-crisis upturn + GFC onset,-0.01260440144687891,-1,-0.06865246593952179,-1,0.06865246593952179,0.004009366035461426,,,,1,686.5246593952179
2008-02-12,fold_1,Pre-crisis upturn + GFC onset,-0.0006996894371695817,-1,-0.0017758844187483191,-1,0.0017758844187483191,0.005792379379272461,,,,1,17.75884418748319
2008-02-13,fold_1,Pre-crisis upturn + GFC onset,-0.0037353558000177145,-1,0.006048077251762152,1,-0.006048077251762152,-0.00029075145721435547,,,,0,-60.48077251762152
2008-02-14,fold_1,Pre-crisis upturn + GFC onset,-0.005350617226213217,-1,0.002186686033383012,1,-0.002186686033383012,-0.002476811408996582,,,,0,-21.866860333830118
2008-02-15,fold_1,Pre-crisis upturn + GFC onset,-0.0037215498741716146,-1,-0.0017726941732689738,-1,0.0017726941732689738,-0.0007085800170898438,,,,1,17.72694173268974
2008-02-19,fold_1,Pre-crisis upturn + GFC onset,-0.001039000111632049,-1,-0.0004710935172624886,-1,0.0004710935172624886,-0.0002378225326538086,,,,1,4.710935172624886
2008-02-20,fold_1,Pre-crisis upturn + GFC onset,-0.0052606756798923016,-1,0.006251954939216375,1,-0.006251954939216375,-0.0064882636070251465,,,,0,-62.51954939216375
