date,fold,regime,prediction,pred_direction,actual_return,actual_direction,strategy_return,cumulative_return,confidence,aleatoric,epistemic,correct,pnl_bps
2008-01-23,fold_1,Pre-crisis upturn + GFC onset,0.00012207803956698626,1,0.009706642478704453,1,0.009706642478704453,0.009706616401672363,,,,1,97.06642478704453
2008-01-24,fold_1,Pre-crisis upturn + GFC onset,0.0034535015001893044,1,-0.006706463638693094,-1,-0.006706463638693094,0.002935051918029785,,,,0,-67.06463638693094
2008-01-25,fold_1,Pre-crisis upturn + GFC onset,-1.875496127468068e-05,-1,0.007704523392021656,1,-0.007704523392021656,-0.00479203462600708,,,,0,-77.04523392021656
2008-01-28,fold_1,Pre-crisis upturn + GFC onset,0.0014145546592772007,1,-0.001093094702810049,-1,-0.001093094702810049,-0.005879878997802734,,,,0,-10.93094702810049
2008-01-29,fold_1,Pre-crisis upturn + GFC onset,0.0008376039913855493,1,0.004004329908639193,1,0.004004329908639193,-0.0018990635871887207,,,,1,40.043299086391926
2008-01-30,fold_1,Pre-crisis upturn + GFC onset,0.002906074281781912,1,0.002289247466251254,1,0.002289247466251254,0.0003858804702758789,,,,1,22.89247466251254
2008-01-31,fold_1,Pre-crisis upturn + GFC onset,-9.047531784744933e-05,-1,-0.004380703438073397,-1,0.004380703438073397,0.004768252372741699,,,,1,43.80703438073397
2008-02-01,fold_1,Pre-crisis upturn + GFC onset,-0.0010695005767047405,-1,0.001897936686873436,1,-0.001897936686873436,0.0028612613677978516,,,,0,-18.97936686873436
2008-02-04,fold_1,Pre-crisis upturn + GFC onset,-0.0018166560912504792,-1,-0.012808330357074738,-1,0.012808330357074738,0.015706181526184082,,,,1,128.08330357074738
2008-02-05,fold_1,Pre-crisis upturn + GFC onset,-0.0033575044944882393,-1,-0.0014324913499876857,-1,0.0014324913499876857,0.017161250114440918,,,,1,14.324913499876857
2008-02-06,fold_1,Pre-crisis upturn + GFC onset,-0.0009345718426629901,-1,-0.009454712271690369,-1,0.009454712271690369,0.026778221130371094,,,,1,94.54712271690369
2008-02-07,fold_1,Pre-crisis upturn + GFC onset,-0.0030426012817770243,-1,0.07542583346366882,1,-0.07542583346366882,-0.050667405128479004,,,,0,-754.2583346366882
2008-02-08,fold_1,Pre-crisis upturn + GFC onset,-0.006259268615394831,-1,-0.06865246593952179,-1,0.06865246593952179,0.014506697654724121,,,,1,686.5246593952179
2008-02-12,fold_1,Pre-crisis upturn + GFC onset,0.0009867028566077352,1,-0.0017758844187483191,-1,-0.0017758844187483191,0.012705087661743164,,,,0,-17.75884418748319
2008-02-13,fold_1,Pre-crisis upturn + GFC onset,-5.50184995518066e-05,-1,0.006048077251762152,1,-0.006048077251762152,0.0065801143646240234,,,,0,-60.48077251762152
2008-02-14,fold_1,Pre-crisis upturn + GFC onset,-0.0010396632133051753,-1,0.002186686033383012,1,-0.002186686033383012,0.0043790340423583984,,,,0,-21.866860333830118
2008-02-15,fold_1,Pre-crisis upturn + GFC onset,0.0016366628697142005,1,-0.0017726941732689738,-1,-0.0017726941732689738,0.0025985240936279297,,,,0,-17.72694173268974
2008-02-19,fold_1,Pre-crisis upturn + GFC onset,7.467075920430943e-05,1,-0.0004710935172624886,-1,-0.0004710935172624886,0.0021262168884277344,,,,0,-4.710935172624886
2008-02-20,fold_1,Pre-crisis upturn + GFC onset,0.0009560780599713326,1,0.006251954939216375,1,0.006251954939216375,0.008391499519348145,,,,1,62.51954939216375
2008-02-21,fold_1,Pre-crisis upturn + GFC onset,0.0026777873281389475,1,0.0007413247367367148,1,0.0007413247367367148,0.009139060974121094,,,,1,7.413247367367148
2008-02-22,fold_1,Pre-crisis upturn + GFC onset,0.000571509706787765,1,0.0006675262120552361,1,0.0006675262120552361,0.009812712669372559,,,,1,6.675262120552361
2008-02-25,fold_1,Pre-crisis upturn + GFC onset,-0.00029898161301389337,-1,0.010797196999192238,1,-0.010797196999192238,-0.0010904669761657715,,,,0,-107.97196999192238
2008-02-26,fold_1,Pre-crisis upturn + GFC onset,0.0033541496377438307,1,0.008133538998663425,1,0.008133538998663425,0.007034182548522949,,,,1,81.33538998663425
2008-02-27,fold_1,Pre-crisis upturn + GFC onset,0.0025928914546966553,1,0.005151412915438414,1,0.005151412915438414,0.012221813201904297,,,,1,51.514129154384136
2008-02-28,fold_1,Pre-crisis upturn + GFC onset,0.0013042885111644864,1,-0.00025825100601650774,-1,-0.00025825100601650774,0.011960387229919434,,,,0,-2.5825100601650774
2008-02-29,fold_1,Pre-crisis upturn + GFC onset,-0.0013875709846615791,-1,0.0005320152267813683,1,-0.0005320152267813683,0.011422038078308105,,,,0,-5.320152267813683
2008-03-03,fold_1,Pre-crisis upturn + GFC onset,0.0001854135189205408,1,0.0006540778558701277,1,0.0006540778558701277,0.012083649635314941,,,,1,6.540778558701277
2008-03-04,fold_1,Pre-crisis upturn + GFC onset,-0.001266314066015184,-1,0.00439975643530488,1,-0.00439975643530488,0.007630705833435059,,,,0,-43.9975643530488
2008-03-05,fold_1,Pre-crisis upturn + GFC onset,-0.0024824070278555155,-1,0.007077113725244999,1,-0.007077113725244999,0.0004996061325073242,,,,0,-70.77113725244999
2008-03-06,fold_1,Pre-crisis upturn + GFC onset,0.0011605956824496388,1,-0.00318984710611403,-1,-0.00318984710611403,-0.0026918649673461914,,,,0,-31.8984710611403
2008-03-07,fold_1,Pre-crisis upturn + GFC onset,-0.0012406234163790941,-1,0.00032211976940743625,1,-0.00032211976940743625,-0.0030130743980407715,,,,0,-3.2211976940743625
2008-03-10,fold_1,Pre-crisis upturn + GFC onset,-0.0019962794613093138,-1,6.13881929893978e-05,1,-6.13881929893978e-05,-0.0030742883682250977,,,,0,-0.6138819298939779
2008-03-11,fold_1,Pre-crisis upturn + GFC onset,-0.0014352942816913128,-1,0.012913729064166546,1,-0.012913729064166546,-0.01594829559326172,,,,0,-129.13729064166546
2008-03-12,fold_1,Pre-crisis upturn + GFC onset,0.00012017023254884407,1,0.005280183628201485,1,0.005280183628201485,-0.010752379894256592,,,,1,52.80183628201485
2008-03-13,fold_1,Pre-crisis upturn + GFC onset,0.0004295169492252171,1,-0.0002654764102771878,-1,-0.0002654764102771878,-0.011014997959136963,,,,0,-2.6547641027718782
2008-03-14,fold_1,Pre-crisis upturn + GFC onset,0.0003821501159109175,1,0.008330723270773888,1,0.008330723270773888,-0.0027760863304138184,,,,1,83.30723270773888
2008-03-17,fold_1,Pre-crisis upturn + GFC onset,-0.0020076725631952286,-1,-0.00571519136428833,-1,0.00571519136428833,0.002923130989074707,,,,1,57.1519136428833
2008-03-18,fold_1,Pre-crisis upturn + GFC onset,0.0007268348126672208,1,-0.001219803118146956,-1,-0.001219803118146956,0.0016998052597045898,,,,0,-12.19803118146956
2008-03-19,fold_1,Pre-crisis upturn + GFC onset,-0.00443329568952322,-1,-0.012585368938744068,-1,0.012585368938744068,0.01430654525756836,,,,1,125.85368938744068
